Thu Oct 02 16:34:24 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
02-10-2025 16:34:24.427,892.97,16.37
02-10-2025 16:34:25.429,892.63,16.38
02-10-2025 16:34:26.429,892.40,16.37
02-10-2025 16:34:27.432,892.27,16.38
02-10-2025 16:34:28.435,892.60,16.39
02-10-2025 16:34:29.438,892.30,16.38
02-10-2025 16:34:30.440,892.63,16.36
02-10-2025 16:34:31.442,892.21,16.37
02-10-2025 16:34:32.443,892.55,16.37
02-10-2025 16:34:33.446,892.31,16.39
02-10-2025 16:34:34.446,892.97,16.41
02-10-2025 16:34:35.449,893.24,16.42
02-10-2025 16:34:36.452,892.49,16.42
02-10-2025 16:34:37.454,892.53,16.41
02-10-2025 16:34:38.455,892.45,16.41
02-10-2025 16:34:39.458,892.37,16.38
02-10-2025 16:34:40.459,892.16,16.38
02-10-2025 16:34:41.461,892.72,16.39
02-10-2025 16:34:42.462,892.64,16.39
02-10-2025 16:34:43.463,892.97,16.39
02-10-2025 16:34:44.467,893.26,16.39
02-10-2025 16:34:45.469,893.10,16.39
02-10-2025 16:34:46.472,892.88,16.41
02-10-2025 16:34:47.473,892.82,16.42
02-10-2025 16:34:48.476,892.48,16.43
02-10-2025 16:34:49.478,892.36,16.44
02-10-2025 16:34:50.480,892.18,16.42
02-10-2025 16:34:51.482,892.21,16.40
02-10-2025 16:34:52.484,892.40,16.39
02-10-2025 16:34:53.484,892.22,16.39
02-10-2025 16:34:54.486,892.07,16.41
02-10-2025 16:34:55.488,892.35,16.42
02-10-2025 16:34:56.490,891.90,16.41
02-10-2025 16:34:57.490,891.79,16.39
02-10-2025 16:34:58.493,892.04,16.38
02-10-2025 16:34:59.496,891.98,16.39
02-10-2025 16:35:00.496,892.30,16.40
02-10-2025 16:35:01.496,892.06,16.41
02-10-2025 16:35:02.496,891.77,16.44
02-10-2025 16:35:03.497,891.62,16.43
02-10-2025 16:35:04.500,881.51,16.42
02-10-2025 16:35:05.504,489.48,16.43
02-10-2025 16:35:06.507,418.68,16.40
02-10-2025 16:35:07.510,481.49,16.41
02-10-2025 16:35:08.513,704.14,16.42
02-10-2025 16:35:09.515,819.32,16.41
02-10-2025 16:35:10.518,864.39,16.43
02-10-2025 16:35:11.520,881.82,16.41
02-10-2025 16:35:12.525,889.22,16.41
02-10-2025 16:35:13.526,892.06,16.40
02-10-2025 16:35:14.528,893.25,16.40
02-10-2025 16:35:15.530,893.84,16.41
02-10-2025 16:35:16.532,893.84,16.40
02-10-2025 16:35:17.533,893.77,16.39
02-10-2025 16:35:18.549,894.40,16.41
02-10-2025 16:35:19.554,894.65,16.42
02-10-2025 16:35:20.558,894.72,16.45
02-10-2025 16:35:21.559,894.83,16.46
02-10-2025 16:35:22.561,894.73,16.46
02-10-2025 16:35:23.562,894.31,16.46
02-10-2025 16:35:24.564,894.18,16.43
02-10-2025 16:35:25.565,894.27,16.41
02-10-2025 16:35:26.566,894.32,16.40
02-10-2025 16:35:27.567,894.19,16.39
02-10-2025 16:35:28.569,894.20,16.39
02-10-2025 16:35:29.570,894.17,16.39
02-10-2025 16:35:30.571,894.06,16.40
02-10-2025 16:35:31.573,894.22,16.40
02-10-2025 16:35:32.574,893.98,16.40
02-10-2025 16:35:33.575,894.04,16.42
02-10-2025 16:35:34.577,894.06,16.42
02-10-2025 16:35:35.580,893.98,16.42
02-10-2025 16:35:36.583,893.66,16.42
02-10-2025 16:35:37.587,893.91,16.42
02-10-2025 16:35:38.590,893.87,16.42
02-10-2025 16:35:39.593,893.88,16.42
02-10-2025 16:35:40.594,894.32,16.42
02-10-2025 16:35:41.596,894.23,16.39
02-10-2025 16:35:42.597,894.33,16.37
02-10-2025 16:35:43.600,894.58,16.36
02-10-2025 16:35:44.600,894.31,16.35
02-10-2025 16:35:45.601,894.46,16.36
02-10-2025 16:35:46.601,894.87,16.37
02-10-2025 16:35:47.603,894.75,16.37
02-10-2025 16:35:48.606,894.49,16.38
02-10-2025 16:35:49.608,894.85,16.37
02-10-2025 16:35:50.611,894.70,16.37
02-10-2025 16:35:51.612,894.59,16.38
02-10-2025 16:35:52.614,894.27,16.36
02-10-2025 16:35:53.617,894.30,16.36
02-10-2025 16:35:54.618,894.58,16.35
02-10-2025 16:35:55.620,894.90,16.35
02-10-2025 16:35:56.622,894.69,16.36
02-10-2025 16:35:57.624,895.05,16.37
02-10-2025 16:35:58.627,895.20,16.39
02-10-2025 16:35:59.630,894.77,16.39
02-10-2025 16:36:00.633,895.14,16.38
02-10-2025 16:36:01.635,894.71,16.35
02-10-2025 16:36:02.637,894.76,16.35
02-10-2025 16:36:03.639,894.86,16.35
02-10-2025 16:36:04.641,894.85,16.34
02-10-2025 16:36:05.643,894.85,16.33
02-10-2025 16:36:06.645,894.68,16.31
02-10-2025 16:36:07.646,895.13,16.31
02-10-2025 16:36:08.647,895.55,16.30
02-10-2025 16:36:09.648,895.66,16.30
02-10-2025 16:36:10.650,895.42,16.30
02-10-2025 16:36:11.651,895.20,16.29
02-10-2025 16:36:12.654,894.77,16.29
02-10-2025 16:36:13.656,894.89,16.29
02-10-2025 16:36:14.658,895.16,16.28
02-10-2025 16:36:15.660,895.02,16.28
02-10-2025 16:36:16.662,894.59,16.28
02-10-2025 16:36:17.663,894.77,16.28
02-10-2025 16:36:18.664,894.81,16.28
02-10-2025 16:36:19.666,894.81,16.28
02-10-2025 16:36:20.667,894.78,16.28
02-10-2025 16:36:21.668,894.73,16.29
02-10-2025 16:36:22.670,894.73,16.29
02-10-2025 16:36:23.673,895.19,16.28
02-10-2025 16:36:24.674,895.41,16.27
02-10-2025 16:36:25.677,895.19,16.25
02-10-2025 16:36:26.678,895.18,16.25
02-10-2025 16:36:27.680,894.45,16.24
02-10-2025 16:36:28.681,894.28,16.24
02-10-2025 16:36:29.681,894.14,16.25
02-10-2025 16:36:30.684,894.47,16.24
02-10-2025 16:36:31.697,894.57,16.25
02-10-2025 16:36:32.698,894.38,16.22
02-10-2025 16:36:33.699,895.08,16.21
02-10-2025 16:36:34.701,895.32,16.22
02-10-2025 16:36:35.702,895.00,16.24
02-10-2025 16:36:36.703,894.58,16.25
02-10-2025 16:36:37.703,894.68,16.27
02-10-2025 16:36:38.712,894.50,16.25
02-10-2025 16:36:39.715,894.55,16.21
02-10-2025 16:36:40.716,893.90,16.20
02-10-2025 16:36:41.717,893.90,16.17
02-10-2025 16:36:42.731,894.50,16.18
02-10-2025 16:36:43.733,894.21,16.19
02-10-2025 16:36:44.734,893.60,16.17
02-10-2025 16:36:45.735,893.47,16.18
02-10-2025 16:36:46.736,893.66,16.18
02-10-2025 16:36:47.737,893.60,16.17
02-10-2025 16:36:48.738,893.13,16.18
02-10-2025 16:36:49.741,893.19,16.17
02-10-2025 16:36:50.743,893.79,16.17
02-10-2025 16:36:51.744,893.67,16.16
02-10-2025 16:36:52.746,893.35,16.15
02-10-2025 16:36:53.747,893.61,16.15
02-10-2025 16:36:54.748,893.64,16.13
02-10-2025 16:36:55.748,893.95,16.13
02-10-2025 16:36:56.748,893.78,16.13
02-10-2025 16:36:57.750,893.73,16.12
02-10-2025 16:36:58.751,893.82,16.11
02-10-2025 16:36:59.751,893.63,16.12
02-10-2025 16:37:00.752,893.15,16.11
02-10-2025 16:37:01.753,892.75,16.10
02-10-2025 16:37:02.756,892.62,16.10
02-10-2025 16:37:03.757,893.39,16.10
02-10-2025 16:37:04.758,893.76,16.10
02-10-2025 16:37:05.760,893.45,16.10
02-10-2025 16:37:06.761,893.09,16.10
02-10-2025 16:37:07.763,893.19,16.10
02-10-2025 16:37:08.764,892.91,16.08
02-10-2025 16:37:09.765,892.95,16.07
02-10-2025 16:37:10.766,892.66,16.04
02-10-2025 16:37:11.768,892.80,16.04
02-10-2025 16:37:12.769,893.05,16.03
02-10-2025 16:37:13.771,893.29,16.04
02-10-2025 16:37:14.784,892.94,16.06
02-10-2025 16:37:15.785,892.81,16.05
02-10-2025 16:37:16.787,892.34,16.04
02-10-2025 16:37:17.788,892.13,16.04
02-10-2025 16:37:18.789,892.46,16.02
02-10-2025 16:37:19.791,892.29,16.03
02-10-2025 16:37:20.792,892.23,16.03
02-10-2025 16:37:21.793,891.84,16.04
02-10-2025 16:37:22.794,892.32,16.04
02-10-2025 16:37:23.795,891.98,16.01
02-10-2025 16:37:24.795,891.79,16.00
02-10-2025 16:37:25.796,891.74,15.98
02-10-2025 16:37:26.796,892.01,15.98
02-10-2025 16:37:27.796,892.12,15.98
02-10-2025 16:37:28.797,891.98,15.97
02-10-2025 16:37:29.798,891.50,15.98
02-10-2025 16:37:30.799,891.59,15.97
02-10-2025 16:37:31.799,891.58,15.96
02-10-2025 16:37:32.806,891.79,15.97
02-10-2025 16:37:33.806,891.26,15.97
02-10-2025 16:37:34.808,891.08,15.97
02-10-2025 16:37:35.811,891.34,15.95
02-10-2025 16:37:36.812,891.37,15.94
02-10-2025 16:37:37.813,891.10,15.93
02-10-2025 16:37:38.815,891.73,15.92
02-10-2025 16:37:39.823,891.67,15.92
02-10-2025 16:37:40.824,891.77,15.92
02-10-2025 16:37:41.826,892.25,15.91
02-10-2025 16:37:42.827,892.12,15.91
02-10-2025 16:37:43.828,891.61,15.92
02-10-2025 16:37:44.829,891.03,15.92
02-10-2025 16:37:45.829,891.56,15.92
02-10-2025 16:37:46.830,891.81,15.92
02-10-2025 16:37:47.831,891.67,15.92
02-10-2025 16:37:48.832,891.18,15.90
02-10-2025 16:37:49.835,891.36,15.89
02-10-2025 16:37:50.836,891.29,15.88
02-10-2025 16:37:51.841,891.97,15.86
02-10-2025 16:37:52.844,892.04,15.85
02-10-2025 16:37:53.845,892.67,15.85
02-10-2025 16:37:54.846,892.65,15.83
02-10-2025 16:37:55.847,892.14,15.82
02-10-2025 16:37:56.848,891.46,15.82
02-10-2025 16:37:57.849,891.48,15.82
02-10-2025 16:37:58.850,891.67,15.84
02-10-2025 16:37:59.852,892.06,15.84
02-10-2025 16:38:00.853,891.66,15.84
02-10-2025 16:38:01.855,892.14,15.84
02-10-2025 16:38:02.856,891.69,15.82
02-10-2025 16:38:03.857,891.81,15.83
02-10-2025 16:38:04.859,892.07,15.82
02-10-2025 16:38:05.861,891.82,15.82
02-10-2025 16:38:06.862,891.88,15.79
02-10-2025 16:38:07.864,891.89,15.79
02-10-2025 16:38:08.867,892.39,15.78
02-10-2025 16:38:09.867,892.26,15.78
02-10-2025 16:38:10.868,891.60,15.78
02-10-2025 16:38:11.870,891.69,15.77
02-10-2025 16:38:12.873,891.56,15.78
02-10-2025 16:38:13.874,891.41,15.78
02-10-2025 16:38:14.876,891.48,15.78
02-10-2025 16:38:15.878,891.28,15.78
02-10-2025 16:38:16.879,891.73,15.75
02-10-2025 16:38:17.880,891.72,15.75
02-10-2025 16:38:18.881,891.38,15.73
02-10-2025 16:38:19.882,891.60,15.72
02-10-2025 16:38:20.884,891.85,15.71
02-10-2025 16:38:21.885,891.26,15.71
02-10-2025 16:38:22.888,891.24,15.71
02-10-2025 16:38:23.890,891.26,15.72
02-10-2025 16:38:24.891,891.61,15.73
02-10-2025 16:38:25.892,891.56,15.71
02-10-2025 16:38:26.899,890.67,15.71
02-10-2025 16:38:27.900,890.75,15.70
02-10-2025 16:38:28.902,890.67,15.70
02-10-2025 16:38:29.903,890.58,15.71
02-10-2025 16:38:30.905,890.74,15.71
02-10-2025 16:38:31.907,891.06,15.71
02-10-2025 16:38:32.911,890.75,15.69
02-10-2025 16:38:33.912,890.59,15.69
02-10-2025 16:38:34.914,890.46,15.66
02-10-2025 16:38:35.916,890.15,15.66
02-10-2025 16:38:36.917,890.67,15.67
02-10-2025 16:38:37.917,890.55,15.66
02-10-2025 16:38:38.917,890.06,15.67
02-10-2025 16:38:39.918,890.29,15.66
02-10-2025 16:38:40.918,889.98,15.64
02-10-2025 16:38:41.919,889.17,15.63
02-10-2025 16:38:42.922,889.39,15.60
02-10-2025 16:38:43.923,889.04,15.60
02-10-2025 16:38:44.924,888.65,15.60
02-10-2025 16:38:45.924,888.59,15.61
02-10-2025 16:38:46.925,889.25,15.61
02-10-2025 16:38:47.927,889.63,15.61
02-10-2025 16:38:48.928,889.54,15.61
02-10-2025 16:38:49.929,889.90,15.60
02-10-2025 16:38:50.931,889.69,15.58
02-10-2025 16:38:51.931,889.20,15.57
02-10-2025 16:38:52.932,889.07,15.59
02-10-2025 16:38:53.932,889.51,15.60
02-10-2025 16:38:54.943,889.38,15.61
02-10-2025 16:38:55.944,888.64,15.60
02-10-2025 16:38:56.944,888.75,15.60
02-10-2025 16:38:57.945,889.16,15.57
02-10-2025 16:38:58.946,888.95,15.56
02-10-2025 16:38:59.952,889.07,15.56
02-10-2025 16:39:00.953,889.11,15.56
02-10-2025 16:39:01.955,888.88,15.55
02-10-2025 16:39:02.963,888.59,15.53
02-10-2025 16:39:03.968,888.34,15.51
02-10-2025 16:39:04.973,888.32,15.51
02-10-2025 16:39:05.974,888.36,15.52
02-10-2025 16:39:06.976,888.47,15.53
02-10-2025 16:39:07.978,888.34,15.54
02-10-2025 16:39:08.980,888.70,15.51
02-10-2025 16:39:09.982,888.66,15.49
02-10-2025 16:39:10.983,888.25,15.47
02-10-2025 16:39:11.984,888.52,15.47
02-10-2025 16:39:12.985,888.38,15.50
02-10-2025 16:39:13.986,888.07,15.50
02-10-2025 16:39:14.988,887.77,15.50
02-10-2025 16:39:15.990,887.87,15.49
02-10-2025 16:39:16.992,887.97,15.48
02-10-2025 16:39:17.993,887.92,15.49
02-10-2025 16:39:18.994,887.93,15.47
02-10-2025 16:39:19.997,888.13,15.46
02-10-2025 16:39:20.999,888.37,15.46
02-10-2025 16:39:22.001,888.07,15.46
02-10-2025 16:39:23.003,887.87,15.46
02-10-2025 16:39:24.004,887.89,15.47
02-10-2025 16:39:25.007,887.53,15.46
02-10-2025 16:39:26.008,887.64,15.44
02-10-2025 16:39:27.012,888.10,15.42
02-10-2025 16:39:28.013,888.17,15.42
02-10-2025 16:39:29.014,888.61,15.42
02-10-2025 16:39:30.015,888.30,15.44
02-10-2025 16:39:31.015,888.72,15.46
02-10-2025 16:39:32.017,888.87,15.46
02-10-2025 16:39:33.019,888.98,15.43
02-10-2025 16:39:34.020,888.95,15.43
02-10-2025 16:39:35.021,889.61,15.41
02-10-2025 16:39:36.021,889.49,15.40
02-10-2025 16:39:37.022,889.66,15.40
02-10-2025 16:39:38.024,889.17,15.39
02-10-2025 16:39:39.025,888.68,15.39
02-10-2025 16:39:40.026,888.10,15.38
02-10-2025 16:39:41.028,888.08,15.40
02-10-2025 16:39:42.029,889.00,15.40
02-10-2025 16:39:43.030,889.37,15.40
02-10-2025 16:39:44.032,889.13,15.39
02-10-2025 16:39:45.034,888.83,15.38
02-10-2025 16:39:46.034,889.20,15.39
02-10-2025 16:39:47.037,888.94,15.37
02-10-2025 16:39:48.050,889.33,15.35
02-10-2025 16:39:49.051,889.58,15.35
02-10-2025 16:39:50.052,889.56,15.35
02-10-2025 16:39:51.053,889.37,15.35
02-10-2025 16:39:52.054,889.35,15.35
02-10-2025 16:39:53.055,889.03,15.32
02-10-2025 16:39:54.056,889.09,15.31
02-10-2025 16:39:55.057,889.30,15.30
02-10-2025 16:39:56.058,888.96,15.29
02-10-2025 16:39:57.059,888.65,15.30
02-10-2025 16:39:58.060,888.83,15.31
02-10-2025 16:39:59.061,888.83,15.30
02-10-2025 16:40:00.062,888.82,15.30
02-10-2025 16:40:01.063,888.50,15.30
02-10-2025 16:40:02.065,888.50,15.27
02-10-2025 16:40:03.067,888.99,15.28
02-10-2025 16:40:04.069,888.04,15.28
02-10-2025 16:40:05.070,888.09,15.27
02-10-2025 16:40:06.071,888.65,15.28
02-10-2025 16:40:07.073,888.56,15.27
02-10-2025 16:40:08.076,888.07,15.26
02-10-2025 16:40:09.079,887.54,15.26
02-10-2025 16:40:10.081,888.11,15.24
02-10-2025 16:40:11.083,887.94,15.24
02-10-2025 16:40:12.084,888.15,15.24
02-10-2025 16:40:13.086,888.49,15.24
02-10-2025 16:40:14.088,888.62,15.26
02-10-2025 16:40:15.088,888.35,15.25
02-10-2025 16:40:16.088,887.88,15.24
02-10-2025 16:40:17.089,887.64,15.23
02-10-2025 16:40:18.092,887.40,15.21
02-10-2025 16:40:19.094,887.28,15.21
02-10-2025 16:40:20.095,887.94,15.20
02-10-2025 16:40:21.096,887.92,15.22
02-10-2025 16:40:22.098,887.46,15.23
02-10-2025 16:40:23.100,888.00,15.24
02-10-2025 16:40:24.103,888.02,15.22
02-10-2025 16:40:25.104,887.83,15.19
