Fri Oct 10 15:57:29 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
10-10-2025 15:57:29.370,891.85,18.19
10-10-2025 15:57:30.527,891.76,18.18
10-10-2025 15:57:31.583,891.76,18.18
10-10-2025 15:57:32.797,891.86,18.17
10-10-2025 15:57:33.981,892.10,18.16
10-10-2025 15:57:35.102,892.10,18.16
10-10-2025 15:57:36.123,892.10,18.15
10-10-2025 15:57:37.310,891.82,18.17
10-10-2025 15:57:38.446,891.67,18.20
10-10-2025 15:57:39.708,891.67,18.21
10-10-2025 15:57:40.798,891.82,18.20
10-10-2025 15:57:41.998,892.29,18.17
10-10-2025 15:57:43.118,892.29,18.16
10-10-2025 15:57:44.159,892.29,18.16
10-10-2025 15:57:45.198,892.20,18.16
10-10-2025 15:57:46.351,892.12,18.17
10-10-2025 15:57:47.358,892.12,18.17
10-10-2025 15:57:48.529,892.12,18.16
10-10-2025 15:57:49.616,892.37,18.14
10-10-2025 15:57:50.800,892.38,18.14
10-10-2025 15:57:51.807,892.38,18.14
10-10-2025 15:57:52.943,892.40,18.15
10-10-2025 15:57:54.034,892.47,18.15
10-10-2025 15:57:55.057,892.47,18.15
10-10-2025 15:57:56.192,892.46,18.16
10-10-2025 15:57:57.343,892.35,18.15
10-10-2025 15:57:58.495,892.27,18.16
10-10-2025 15:57:59.636,892.27,18.15
10-10-2025 15:58:00.690,892.27,18.15
10-10-2025 15:58:01.730,892.24,18.15
10-10-2025 15:58:02.933,892.25,18.14
10-10-2025 15:58:04.036,892.24,18.14
10-10-2025 15:58:05.073,892.13,18.14
10-10-2025 15:58:06.133,891.87,18.14
10-10-2025 15:58:07.250,891.87,18.14
10-10-2025 15:58:08.432,891.87,18.14
10-10-2025 15:58:09.621,892.31,18.14
10-10-2025 15:58:10.706,892.38,18.14
10-10-2025 15:58:11.866,892.38,18.14
10-10-2025 15:58:13.045,892.21,18.13
10-10-2025 15:58:14.245,891.85,18.11
10-10-2025 15:58:15.253,891.85,18.10
10-10-2025 15:58:16.342,891.85,18.10
10-10-2025 15:58:17.362,891.92,18.12
10-10-2025 15:58:18.487,892.00,18.14
10-10-2025 15:58:19.717,892.00,18.11
10-10-2025 15:58:20.886,892.01,18.09
10-10-2025 15:58:22.038,891.91,18.08
10-10-2025 15:58:23.112,891.90,18.08
10-10-2025 15:58:24.228,891.90,18.08
10-10-2025 15:58:25.238,891.57,18.09
10-10-2025 15:58:26.375,890.97,18.09
10-10-2025 15:58:27.559,890.97,18.09
10-10-2025 15:58:28.726,890.97,18.09
10-10-2025 15:58:29.919,891.41,18.09
10-10-2025 15:58:31.023,891.45,18.09
10-10-2025 15:58:32.050,891.45,18.09
10-10-2025 15:58:33.074,891.43,18.08
10-10-2025 15:58:34.141,891.28,18.06
10-10-2025 15:58:35.327,891.28,18.07
10-10-2025 15:58:36.504,891.28,18.08
10-10-2025 15:58:37.650,891.55,18.10
10-10-2025 15:58:38.667,891.73,18.10
10-10-2025 15:58:39.767,891.74,18.10
10-10-2025 15:58:40.793,891.74,18.07
10-10-2025 15:58:42.121,890.85,18.05
10-10-2025 15:58:43.303,890.80,18.06
10-10-2025 15:58:44.380,890.80,18.06
10-10-2025 15:58:45.537,890.60,18.07
10-10-2025 15:58:46.617,890.40,18.07
10-10-2025 15:58:47.696,890.40,18.07
10-10-2025 15:58:48.777,890.40,18.07
10-10-2025 15:58:49.934,890.83,18.06
10-10-2025 15:58:50.952,890.88,18.07
10-10-2025 15:58:52.171,890.89,18.05
10-10-2025 15:58:53.181,890.88,18.04
10-10-2025 15:58:54.406,890.84,18.02
10-10-2025 15:58:55.612,890.84,18.03
10-10-2025 15:58:56.742,890.83,18.03
10-10-2025 15:58:57.793,890.95,18.04
10-10-2025 15:58:58.879,891.05,18.05
10-10-2025 15:58:59.912,891.05,18.05
10-10-2025 15:59:01.049,891.05,18.04
10-10-2025 15:59:02.085,890.88,18.04
10-10-2025 15:59:03.172,890.86,18.03
10-10-2025 15:59:04.198,890.86,18.03
10-10-2025 15:59:05.432,890.76,18.03
10-10-2025 15:59:06.647,890.53,18.04
10-10-2025 15:59:07.654,890.53,18.06
10-10-2025 15:59:08.790,890.53,18.06
10-10-2025 15:59:09.811,890.37,18.03
10-10-2025 15:59:10.998,890.26,18.04
10-10-2025 15:59:12.150,890.26,18.03
10-10-2025 15:59:13.316,890.25,18.04
10-10-2025 15:59:14.391,890.31,18.03
10-10-2025 15:59:15.452,890.31,18.02
10-10-2025 15:59:16.691,890.31,18.01
10-10-2025 15:59:17.858,890.31,18.00
10-10-2025 15:59:19.030,890.31,18.01
10-10-2025 15:59:20.184,890.32,18.00
10-10-2025 15:59:21.324,890.35,18.00
10-10-2025 15:59:22.475,890.60,17.99
10-10-2025 15:59:23.593,890.59,17.99
10-10-2025 15:59:24.613,890.59,18.00
10-10-2025 15:59:25.617,890.58,17.99
10-10-2025 15:59:26.786,890.55,18.01
10-10-2025 15:59:27.938,890.55,18.01
10-10-2025 15:59:29.040,890.56,18.00
10-10-2025 15:59:30.110,890.60,17.98
10-10-2025 15:59:31.168,890.61,17.97
10-10-2025 15:59:32.192,890.61,17.96
10-10-2025 15:59:33.281,890.58,17.97
10-10-2025 15:59:34.400,890.10,17.97
10-10-2025 15:59:35.472,890.06,17.98
10-10-2025 15:59:36.656,890.06,17.98
10-10-2025 15:59:37.824,889.90,17.97
10-10-2025 15:59:38.911,889.68,17.96
10-10-2025 15:59:39.969,889.67,17.96
10-10-2025 15:59:41.058,889.67,17.96
10-10-2025 15:59:42.231,890.09,17.96
10-10-2025 15:59:43.276,890.23,17.95
10-10-2025 15:59:44.397,890.24,17.94
10-10-2025 15:59:45.527,890.25,17.94
10-10-2025 15:59:46.657,890.27,17.93
10-10-2025 15:59:47.883,890.27,17.94
10-10-2025 15:59:48.890,890.27,17.95
10-10-2025 15:59:50.092,890.07,17.95
10-10-2025 15:59:51.295,889.96,17.96
10-10-2025 15:59:52.447,889.97,17.94
10-10-2025 15:59:53.582,889.94,17.94
10-10-2025 15:59:54.611,889.63,17.95
10-10-2025 15:59:55.814,889.62,17.96
10-10-2025 15:59:57.049,889.62,17.95
10-10-2025 15:59:58.344,890.11,17.94
10-10-2025 15:59:59.415,890.32,17.95
10-10-2025 16:00:00.486,890.32,17.96
10-10-2025 16:00:01.569,890.31,17.97
10-10-2025 16:00:02.721,890.28,17.96
10-10-2025 16:00:03.746,890.29,17.95
10-10-2025 16:00:04.833,890.29,17.94
10-10-2025 16:00:06.052,889.90,17.92
10-10-2025 16:00:07.239,889.59,17.89
10-10-2025 16:00:08.278,889.59,17.91
10-10-2025 16:00:09.477,889.58,17.89
10-10-2025 16:00:10.726,889.40,17.90
10-10-2025 16:00:11.832,889.40,17.92
10-10-2025 16:00:13.033,889.40,17.92
10-10-2025 16:00:14.057,889.61,17.93
10-10-2025 16:00:15.165,890.01,17.92
10-10-2025 16:00:16.379,890.02,17.90
10-10-2025 16:00:17.559,890.02,17.90
10-10-2025 16:00:18.632,889.81,17.90
10-10-2025 16:00:19.833,889.79,17.89
10-10-2025 16:00:21.028,889.79,17.89
10-10-2025 16:00:22.240,889.47,17.88
10-10-2025 16:00:23.339,889.23,17.85
10-10-2025 16:00:24.424,889.23,17.87
10-10-2025 16:00:25.655,889.19,17.86
10-10-2025 16:00:26.833,888.65,17.87
10-10-2025 16:00:28.065,888.62,17.89
10-10-2025 16:00:29.132,888.62,17.89
10-10-2025 16:00:30.180,888.95,17.89
10-10-2025 16:00:31.392,889.45,17.88
10-10-2025 16:00:32.582,889.46,17.86
10-10-2025 16:00:33.605,889.46,17.85
10-10-2025 16:00:34.675,889.50,17.87
10-10-2025 16:00:35.743,889.52,17.86
10-10-2025 16:00:36.766,889.52,17.86
10-10-2025 16:00:37.802,889.52,17.85
10-10-2025 16:00:38.807,888.71,17.84
10-10-2025 16:00:39.815,888.65,17.83
10-10-2025 16:00:41.048,888.65,17.83
10-10-2025 16:00:42.229,888.61,17.83
10-10-2025 16:00:43.403,888.56,17.84
10-10-2025 16:00:44.467,888.55,17.85
10-10-2025 16:00:45.690,888.55,17.86
10-10-2025 16:00:46.864,888.63,17.86
10-10-2025 16:00:48.073,888.64,17.84
10-10-2025 16:00:49.221,888.64,17.85
10-10-2025 16:00:50.302,888.62,17.85
10-10-2025 16:00:51.400,888.57,17.85
10-10-2025 16:00:52.503,888.57,17.85
10-10-2025 16:00:53.650,888.57,17.84
10-10-2025 16:00:54.704,888.54,17.84
10-10-2025 16:00:55.811,888.53,17.85
10-10-2025 16:00:56.909,888.53,17.83
10-10-2025 16:00:57.917,888.54,17.82
10-10-2025 16:00:58.919,889.13,17.82
10-10-2025 16:01:00.113,889.16,17.80
10-10-2025 16:01:01.178,889.16,17.81
10-10-2025 16:01:02.346,888.72,17.81
10-10-2025 16:01:03.539,888.19,17.80
10-10-2025 16:01:04.707,888.19,17.79
10-10-2025 16:01:05.849,888.20,17.77
10-10-2025 16:01:06.964,887.78,17.76
10-10-2025 16:01:08.140,887.75,17.77
10-10-2025 16:01:09.284,887.74,17.79
10-10-2025 16:01:10.476,887.89,17.82
10-10-2025 16:01:11.576,888.12,17.80
10-10-2025 16:01:12.660,888.13,17.78
10-10-2025 16:01:13.912,888.13,17.78
10-10-2025 16:01:15.012,887.83,17.78
10-10-2025 16:01:16.229,887.81,17.79
10-10-2025 16:01:17.363,887.81,17.79
10-10-2025 16:01:18.459,885.66,17.79
10-10-2025 16:01:19.565,882.36,17.79
10-10-2025 16:01:20.730,882.36,17.78
10-10-2025 16:01:21.839,882.36,17.78
10-10-2025 16:01:22.944,878.15,17.78
10-10-2025 16:01:23.992,876.38,17.78
10-10-2025 16:01:24.998,876.37,17.79
10-10-2025 16:01:26.146,876.15,17.77
10-10-2025 16:01:27.170,872.55,17.76
10-10-2025 16:01:28.318,872.56,17.74
10-10-2025 16:01:29.512,872.55,17.75
10-10-2025 16:01:30.612,871.70,17.75
10-10-2025 16:01:31.734,870.88,17.77
10-10-2025 16:01:32.815,870.89,17.75
10-10-2025 16:01:33.896,870.89,17.75
10-10-2025 16:01:35.103,872.46,17.74
10-10-2025 16:01:36.217,872.87,17.73
10-10-2025 16:01:37.268,872.87,17.75
10-10-2025 16:01:38.509,873.46,17.76
10-10-2025 16:01:39.656,874.86,17.74
10-10-2025 16:01:40.728,874.86,17.74
10-10-2025 16:01:41.867,874.86,17.74
10-10-2025 16:01:42.889,876.08,17.76
10-10-2025 16:01:44.059,877.09,17.75
10-10-2025 16:01:45.099,877.09,17.75
10-10-2025 16:01:46.196,877.10,17.73
10-10-2025 16:01:47.264,880.05,17.71
10-10-2025 16:01:48.268,880.24,17.72
10-10-2025 16:01:49.525,880.24,17.72
10-10-2025 16:01:50.635,881.06,17.71
10-10-2025 16:01:51.739,882.93,17.69
10-10-2025 16:01:52.810,882.94,17.68
10-10-2025 16:01:54.051,882.93,17.69
10-10-2025 16:01:55.112,884.16,17.70
10-10-2025 16:01:56.142,884.72,17.71
10-10-2025 16:01:57.210,884.72,17.71
10-10-2025 16:01:58.341,884.83,17.71
10-10-2025 16:01:59.407,886.35,17.71
10-10-2025 16:02:00.663,886.43,17.71
10-10-2025 16:02:01.774,886.43,17.71
10-10-2025 16:02:02.836,886.56,17.70
10-10-2025 16:02:03.951,886.73,17.71
10-10-2025 16:02:05.116,886.73,17.70
10-10-2025 16:02:06.354,886.73,17.69
10-10-2025 16:02:07.356,886.79,17.68
10-10-2025 16:02:08.470,886.80,17.68
10-10-2025 16:02:09.663,886.80,17.68
10-10-2025 16:02:10.807,886.29,17.67
10-10-2025 16:02:11.851,885.18,17.67
10-10-2025 16:02:12.887,885.19,17.67
10-10-2025 16:02:13.966,885.19,17.67
10-10-2025 16:02:14.989,885.65,17.68
10-10-2025 16:02:16.013,886.31,17.69
10-10-2025 16:02:17.037,886.31,17.69
10-10-2025 16:02:18.109,886.31,17.70
10-10-2025 16:02:19.340,886.82,17.69
10-10-2025 16:02:20.444,886.98,17.67
10-10-2025 16:02:21.516,886.98,17.67
10-10-2025 16:02:22.684,887.00,17.66
10-10-2025 16:02:23.708,887.22,17.66
10-10-2025 16:02:24.877,887.22,17.66
10-10-2025 16:02:25.887,887.21,17.67
10-10-2025 16:02:26.991,887.05,17.68
10-10-2025 16:02:28.047,886.71,17.68
10-10-2025 16:02:29.199,886.71,17.67
10-10-2025 16:02:30.254,886.71,17.68
10-10-2025 16:02:31.390,886.38,17.67
10-10-2025 16:02:32.464,886.26,17.67
10-10-2025 16:02:33.489,886.26,17.68
10-10-2025 16:02:34.560,886.30,17.67
10-10-2025 16:02:35.782,886.77,17.67
10-10-2025 16:02:36.797,886.78,17.65
10-10-2025 16:02:37.921,886.78,17.64
10-10-2025 16:02:38.993,886.95,17.61
10-10-2025 16:02:40.229,887.25,17.61
10-10-2025 16:02:41.293,887.25,17.60
10-10-2025 16:02:42.337,887.24,17.62
10-10-2025 16:02:43.394,886.78,17.64
10-10-2025 16:02:44.493,886.46,17.64
10-10-2025 16:02:45.651,886.46,17.63
10-10-2025 16:02:46.831,886.47,17.62
10-10-2025 16:02:47.980,886.47,17.62
10-10-2025 16:02:49.083,886.47,17.62
10-10-2025 16:02:50.261,886.46,17.63
10-10-2025 16:02:51.268,886.42,17.63
10-10-2025 16:02:52.307,886.37,17.63
10-10-2025 16:02:53.365,886.37,17.64
10-10-2025 16:02:54.453,886.37,17.62
10-10-2025 16:02:55.627,886.50,17.61
10-10-2025 16:02:56.683,886.54,17.60
10-10-2025 16:02:57.835,886.54,17.62
10-10-2025 16:02:58.988,886.45,17.62
10-10-2025 16:03:00.205,886.30,17.61
10-10-2025 16:03:01.247,886.30,17.60
10-10-2025 16:03:02.436,886.31,17.59
10-10-2025 16:03:03.563,886.48,17.60
10-10-2025 16:03:04.564,886.58,17.61
10-10-2025 16:03:05.656,886.58,17.60
10-10-2025 16:03:06.808,886.57,17.61
10-10-2025 16:03:07.865,886.49,17.61
10-10-2025 16:03:09.048,886.49,17.60
10-10-2025 16:03:10.136,886.49,17.61
10-10-2025 16:03:11.240,886.68,17.62
10-10-2025 16:03:12.391,886.94,17.63
10-10-2025 16:03:13.508,886.94,17.63
10-10-2025 16:03:14.531,886.94,17.62
10-10-2025 16:03:15.556,886.66,17.62
10-10-2025 16:03:16.565,886.50,17.61
10-10-2025 16:03:17.639,886.49,17.62
10-10-2025 16:03:18.712,886.50,17.61
10-10-2025 16:03:19.772,885.62,17.60
10-10-2025 16:03:20.989,885.32,17.61
10-10-2025 16:03:22.017,885.33,17.60
10-10-2025 16:03:23.188,885.60,17.61
10-10-2025 16:03:24.405,886.29,17.61
10-10-2025 16:03:25.622,886.29,17.61
10-10-2025 16:03:26.935,886.29,17.62
10-10-2025 16:03:28.090,886.29,17.60
10-10-2025 16:03:29.292,886.30,17.59
10-10-2025 16:03:30.543,886.30,17.60
10-10-2025 16:03:31.582,886.32,17.58
10-10-2025 16:03:32.608,886.33,17.58
10-10-2025 16:03:33.631,886.33,17.57
10-10-2025 16:03:34.634,886.34,17.56
10-10-2025 16:03:35.831,886.05,17.59
10-10-2025 16:03:37.025,885.95,17.57
10-10-2025 16:03:38.059,885.95,17.58
10-10-2025 16:03:39.313,885.89,17.58
10-10-2025 16:03:40.486,885.71,17.58
10-10-2025 16:03:41.595,885.71,17.57
10-10-2025 16:03:42.843,885.70,17.58
10-10-2025 16:03:44.013,885.61,17.57
10-10-2025 16:03:45.200,885.60,17.55
10-10-2025 16:03:46.343,885.60,17.55
10-10-2025 16:03:47.456,885.48,17.55
10-10-2025 16:03:48.536,885.12,17.58
10-10-2025 16:03:49.744,885.13,17.58
10-10-2025 16:03:50.970,885.13,17.58
10-10-2025 16:03:52.100,885.48,17.59
10-10-2025 16:03:53.214,885.49,17.59
10-10-2025 16:03:54.438,885.49,17.59
10-10-2025 16:03:55.500,885.48,17.57
10-10-2025 16:03:56.701,885.46,17.55
10-10-2025 16:03:57.743,885.46,17.53
10-10-2025 16:03:58.863,885.46,17.54
10-10-2025 16:04:00.031,885.11,17.52
10-10-2025 16:04:01.135,885.01,17.54
10-10-2025 16:04:02.207,885.00,17.55
10-10-2025 16:04:03.330,884.96,17.55
10-10-2025 16:04:04.510,884.80,17.57
10-10-2025 16:04:05.680,884.80,17.56
10-10-2025 16:04:06.770,884.81,17.55
10-10-2025 16:04:07.820,885.10,17.55
10-10-2025 16:04:08.870,885.36,17.53
10-10-2025 16:04:09.938,885.35,17.55
10-10-2025 16:04:11.091,885.36,17.53
10-10-2025 16:04:12.164,884.74,17.52
